name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
On My Wave,Keiynan Lonsdale,Rainbow Boy,01iaXaqUjZVsdLp2yF3OQ9,0.486,0.773,6,-4.199,1,0.245,0.132,7.35e-06,0.084,0.439,120.145,247062,4,44
"96,000",Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0CpE5SeQkHQPYiWX0psxf4,0.479,0.614,7,-7.001,1,0.336,0.013,0.0,0.162,0.406,171.93,345871,4,72
Pessimist,Greta Isaac,Pessimist,0IkBQt9vSLLwoX0knkusSl,0.539,0.524,4,-8.279,1,0.236,0.0473,0.000349,0.0806,0.729,174.047,192027,3,39
Girl Next Door,Alessia Cara,The Pains Of Growing,0JjJGeUbFqCRe4nKNVCAz9,0.705,0.516,0,-5.77,1,0.12,0.583,0.0,0.078,0.422,115.74,202600,4,81
Somebody Else,Alessia Cara,In The Meantime,0O9ijXvoYpXDjqhaYZtA2X,0.718,0.721,4,-5.525,1,0.0429,0.019,0.0,0.144,0.963,108.07,214614,4,81
Fishbowl,Alessia Cara,In The Meantime,0QZcEmktdpeCcwIHSfpAAM,0.793,0.75,11,-5.164,0,0.275,0.141,0.0,0.113,0.677,108.131,188696,4,81
Getaway Car,Taylor Swift,reputation,0VE4kBnHJUgtMf0dy6DRmW,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,4,100
Wild Thing,Jasmine Cephas-Jones,Wild Thing,0WBbVvdbsIV0RsYcVoLLwT,0.644,0.569,7,-8.403,0,0.046,0.141,0.16,0.0905,0.186,94.996,231653,4,59
Not Your Birthday,Allstar Weekend,All the Way,0X5p2uVpPIbHIMzyH7ky3V,0.683,0.943,7,-3.408,1,0.11,0.00553,0.0,0.0752,0.776,129.015,205520,4,42
Madness,Ruelle,Madness,0XVQTr58DZbLUcjacnTp8k,0.509,0.661,8,-4.334,0,0.0433,0.273,4.89e-05,0.076,0.421,142.889,211140,3,67
Run Boy Run,Woodkid,The Golden Age,0boS4e6uXwp3zAvz1mLxZS,0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,213267,4,68
Blackout,Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0e2SZBDwY2ods2rkb84nmW,0.611,0.749,7,-6.408,0,0.0698,0.0107,0.0,0.204,0.502,99.667,200118,4,72
"Kingdom Dance - From ""Tangled""/Score",Alan Menken,Tangled,0jkGkwy510cvhy0jYPFme4,0.239,0.614,4,-9.819,1,0.0773,0.0904,0.403,0.129,0.47,155.658,140413,3,64
willow,Taylor Swift,evermore,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707,4,100
Out Of The Woods,Taylor Swift,1989,0qUnBLZ8bJqUNEeQgayL9t,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,235800,4,100
champagne problems,Taylor Swift,evermore,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4,100
Boys Will Be Boys,Dua Lipa,Future Nostalgia,0vQcyuMEfRBd21ojZ62N2L,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,166266,4,94
