name,artist,album,URI
On My Wave,Keiynan Lonsdale,Rainbow Boy,01iaXaqUjZVsdLp2yF3OQ9
"96,000",Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0CpE5SeQkHQPYiWX0psxf4
Pessimist,Greta Isaac,Pessimist,0IkBQt9vSLLwoX0knkusSl
Girl Next Door,Alessia Cara,The Pains Of Growing,0JjJGeUbFqCRe4nKNVCAz9
Somebody Else,Alessia Cara,In The Meantime,0O9ijXvoYpXDjqhaYZtA2X
Fishbowl,Alessia Cara,In The Meantime,0QZcEmktdpeCcwIHSfpAAM
Getaway Car,Taylor Swift,reputation,0VE4kBnHJUgtMf0dy6DRmW
Wild Thing,Jasmine Cephas-Jones,Wild Thing,0WBbVvdbsIV0RsYcVoLLwT
Not Your Birthday,Allstar Weekend,All the Way,0X5p2uVpPIbHIMzyH7ky3V
Madness,Ruelle,Madness,0XVQTr58DZbLUcjacnTp8k
Run Boy Run,Woodkid,The Golden Age,0boS4e6uXwp3zAvz1mLxZS
Blackout,Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0e2SZBDwY2ods2rkb84nmW
"Kingdom Dance - From ""Tangled""/Score",Alan Menken,Tangled,0jkGkwy510cvhy0jYPFme4
willow,Taylor Swift,evermore,0lx2cLdOt3piJbcaXIV74f
Out Of The Woods,Taylor Swift,1989,0qUnBLZ8bJqUNEeQgayL9t
champagne problems,Taylor Swift,evermore,0sY6ZUTh4yoctD8VIXz339
Boys Will Be Boys,Dua Lipa,Future Nostalgia,0vQcyuMEfRBd21ojZ62N2L
All For Us - from the HBO Original Series Euphoria,Labrinth,All For Us,10hMM5nsZQf66ldBlgWBfG
"I Choose - From The Netflix Original Film ""The Willoughbys""",Alessia Cara,I Choose,13QIjo2iGBgl56mNDjJOet
Drama Queen,Alessia Cara,In The Meantime,13RFBaODKzfZz3bSp9RmL6
Dress,Charlotte Sands,Dress,19VgR6RNUxPlZdQm08CZIs
Not Today,Alessia Cara,The Pains Of Growing,1BGIZCaDu29MK8DsykL7Hb
I Love You Always Forever,Donna Lewis,Now in a Minute,1PEqh7awkpuepLBSq8ZwqD
Lover,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI
I Love You Always Forever,Betty Who,I Love You Always Forever,1p6rk9R8SCum97WnvGNt6O
Bluebird,Alessia Cara,In The Meantime,1w1UFvNdHZZLhozS2Ysdub
Unboxing Intro,Alessia Cara,In The Meantime,1wnRsXo9tSvj60Vbc6C7A2
Bajo el mar,Michael Cruz,Canta y Cuenta: La Sirenita,23ayZRBySJIWyFrhHX7nOu
A Little More,Alessia Cara,The Pains Of Growing,2IG5I8jLFkX8tFSOUH3DzT
Yonaguni,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS
Growing Pains,Alessia Cara,The Pains Of Growing,2N6bB5ck67CNILInUX1Ctw
enough for you,Olivia Rodrigo,SOUR,2TOzTqQXNmR2zDJXihjZ2e
I'd Rather Be Me,Barrett Wilbert Weed,I'd Rather Be Me,2UNt0aiJNNXbbtSN5Aag0x
Wildflowers,Maddie Poppe,Whirlwind,2VQzy5hIet7TpNop2MSFgN
Find My Boy,Alessia Cara,In The Meantime,2rmf4QaSE174hUEObAxLpw
"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,2xizRhme7pYeITbH1NLLGt
After Midnight,Sam Creighton,After Midnight,35AzqWrY78E3sHcb3bSZSG
Levitating,Dua Lipa,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP
Sparkle - movie ver.,RADWIMPS,Your Name.,3A4FRzgve9BjfKbvVXRIFO
Keep the Beat,Lin-Manuel Miranda,Vivo (Original Motion Picture Soundtrack),3BhpY0zIbTbZt5twFz0t1P
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf
Sweet Dream,Alessia Cara,In The Meantime,3HhrQvdp1HIVluWLEgdAsV
Don't Start Now,Dua Lipa,Future Nostalgia,3PfIrDoz19wz7qK7tYeu62
Need to Know,Doja Cat,Planet Her,3Vi5XqYrmQgOYBajMWSvCi
I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),Alessia Cara,This Summer: Live Off The Floor,3duAXBgphi9PVRSf7e1QeH
Lie To Me,Alessia Cara,In The Meantime,3vThkPv25GkMKMSnnxm3ev
Fever,Dua Lipa,Fever,3wJVBz7gvGTwTWVAxFa6ny
"I Miss You, Don't Call Me",Alessia Cara,In The Meantime,3xbiVkfxjHIpd1CVEtrJ8R
October - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4BS8vxpM32EVqHJ31HdUUP
A-O-K,Tai Verdes,A-O-K,4CbrNGvwVjneG8Nk9YQqMR
magic,Wrabel,one of those happy people,4Lii9KR73l6TbLPfgdrDsH
Wherever I Live,Alessia Cara,The Pains Of Growing,4MT0yNKM7GYPkRsk1Uvo7G
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,4MzXwWMhyBbmu6hOcLVD49
What's On Your Mind? - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4REkFwoagazUV2dW5IFqYb
